id,created_at,updated_at,active,title,image,category,locationguider,city,description,view_count
11,2020-08-30 10:26:12,2020-08-30 10:26:12,1,Kakani Hike,location/kakani-hiking-1.jpg,3,1,6,"This gorgeous route takes you right through the alpine forests, to Kakani - a small village near Kathmandu. The trail is easy, gravely and has a very slight incline, making it easy to hike. If you want to rest, there are numerous picnic spots and roadside shops to take a quick break. Don't forget to try the local cuisine at Kakani!",3
10,2020-08-30 10:24:46,2020-08-30 10:24:46,1,Amitabha Monastery Hike,location/amitabha-monastery-hiking.jpg,3,2,6,"Amitabha Monastery is also called Seto Gumba, which means 'White Monastery' in the local language. The breathtaking monastery is made of white stones, giving it a pristine façade. The walls are decked with local murals and frescoes that depict the life of the Buddha and the Buddhist culture. The monument is also home to sacred statues made of medicinal clay. The Stupa looks breathtaking during sunset! The route is much-frequented, so you are bound to find some trusty hiking companions as well.",2
9,2020-08-30 10:22:53,2020-08-30 10:22:53,1,Buddhanilkantha,location/attr_123763_20190819185758.jpg,1,2,6,"Budhanilkantha Temple, located in Budhanilkantha, Nepal, is a Hindu open air temple dedicated to Lord Vishnu. Budhanilkantha Temple is situated below the Shivapuri Hill at the northern end of the Kathmandu valley. and can be identified by a large reclining statue of Lord Vishnu",1
8,2020-08-30 10:05:00,2020-08-30 10:05:00,1,Kopan Monastery,location/kapan-monastery-kathmandu.jpg,1,1,6,"Kopan Monastery is a Tibetan Buddhist monastery near Boudhanath, on the outskirts of Kathmandu, Nepal. It is a member of the Foundation for the Preservation of the Mahayana Tradition, an international network of Gelugpa dharma centers, and once served as its headquarters.",2
7,2020-08-30 08:19:25,2020-08-30 08:19:25,1,Swyambunath “The Monkey Temple”,location/swambunath.jpg,1,1,6,"Swayambhunath is, perhaps, the perfect location to observe the religious harmony in Nepal.  It is also known as the Monkey temple because of the presence of a massive number of monkeys around the temple. The stupa is among the most ancient stupa of Kathmandu valley. The worshippers of this stupa are diverse from Newar nuns, Tibetan monks and Brahmin priests to  Buddhists and Hindus.",2
6,2020-08-30 08:17:00,2020-08-30 08:17:00,1,Changunarayan,location/Chagunarayan-temple-1.jpg,1,2,9,"Changunaryan Temple in the Changu village is believed to be as one of the most ancient temples of Kathmandu valley. The temple showcases a fifth-century stone inscription and is the oldest discovery of Nepal. Changunarayan temple was built in the 3rd century and covers the sixteen hundred years in the history of Nepal. The temple showcases the best craftings of wood, stone, and metal in the valley.",2
5,2020-08-30 08:14:29,2020-08-30 08:14:29,1,Patan Durbar Square,location/unnamed.jpg,2,2,8,Patan city is one of the oldest cities in Kathmandu valley and it is also known as Lalitpur. Patan Durbar Square is one of the main attraction of this city which is situated  8 km south-east of Kathmandu city. The city is believed to be founded in the 3rd century and is an open museum of the beautiful Newari craftsmanship.,3
4,2020-08-30 08:12:08,2020-08-30 08:12:08,1,Boudhanath Stupa,location/Boudhanath_Stupa.JPG,1,2,6,"Boudhanath is one of the largest stupas in South Asia, and it is one of the attraction points of Tibetan Buddhism in Nepal.   The stupa is situated on the ancient trade route to Tibet and Tibetan merchants rested and offered prayers here for centuries.  When refugees entered Nepal from Tibet in the 1950s, a lot decided to live around Boudhanath. They established many gompas and also the”Little Tibet” of Nepal was born.",2
3,2020-08-30 08:11:18,2020-08-30 08:11:18,1,Kathmandu Durbar square,location/kathmandu_durbar.jpg,2,1,6,"Kathmandu Durbar Square is situated at the center of the Kathmandu valley and is popularly known as Hanuman Dhoka Palace which means the Gateway of Hanuman – the monkey God in Hindu mythology.
The Palace is named after the Hindu Monkey God, Hanuman also is painted entirely red right alongside the primary entrance (the Golden Gate) of this Palace.  He is believed as the guardian of the entire Durbar Square area.",2
2,2020-08-30 07:57:44,2020-08-30 07:57:44,1,Bhaktapur Durbar Square,location/bhaktapur.jpg,2,2,1,"Bhaktapur Durbar Square is the main the focus of Bhaktapur sightseeing, but it is not the only impressive place to see in the city. Bhaktapur contains a lot of temples and places of interest because you can see. It is unique as it is one of the few sights in Nepal that hosts a great variety of attractions with unique handmade designs at the same location.",3
1,2020-04-20 06:04:12,2020-04-20 06:04:12,1,Pashupatinath,location/pashupati.jpg,1,2,1,jhdguwq,1
